james_1
412.44,427.38,16:06:22.187 18/06/2025,1
365.07,385.56,16:06:22.233 18/06/2025,1
314.32,337.82,16:06:22.291 18/06/2025,1
272.91,291.89,16:06:22.350 18/06/2025,1
238.87,252.61,16:06:22.423 18/06/2025,1
184.73,225.62,16:06:22.486 18/06/2025,1
162.97,207.73,16:06:22.546 18/06/2025,1
129.89,190.46,16:06:22.602 18/06/2025,1
108.16,175.38,16:06:22.671 18/06/2025,1
67.69,166.44,16:06:22.869 18/06/2025,1
65.04,170.62,16:06:23.151 18/06/2025,2
88.42,181.91,16:06:23.220 18/06/2025,2
94.01,161.42,16:06:23.470 18/06/2025,2
151.45,184.41,16:06:24.226 18/06/2025,2
172.09,201.06,16:06:24.411 18/06/2025,3
194.42,234.27,16:06:25.629 18/06/2025,4
249.61,241.54,16:06:26.041 18/06/2025,4
286.53,240.95,16:06:26.279 18/06/2025,4
320.6,240.86,16:06:26.512 18/06/2025,4
349.01,243.21,16:06:26.696 18/06/2025,4
376.48,247.81,16:06:26.755 18/06/2025,4
411.67,248.15,16:06:26.822 18/06/2025,5
459.72,243.99,16:06:26.884 18/06/2025,5
394.38,255.1,16:06:27.905 18/06/2025,5
373.78,260.09,16:06:27.966 18/06/2025,5
339.54,265.48,16:06:28.039 18/06/2025,5
315.39,267.22,16:06:28.118 18/06/2025,6
275.04,274.46,16:06:28.194 18/06/2025,6
331.8,293.36,16:06:29.418 18/06/2025,7
287.98,294.46,16:06:30.713 18/06/2025,8
256.73,297.23,16:06:30.774 18/06/2025,8
212.19,300.74,16:06:30.953 18/06/2025,8
189.72,302.67,16:06:31.013 18/06/2025,8
156.13,317.8,16:06:31.081 18/06/2025,8
186.16,327.22,16:06:31.598 18/06/2025,8
217.52,335.18,16:06:31.658 18/06/2025,8
243.66,338.95,16:06:31.922 18/06/2025,8
243.72,330.04,16:06:31.989 18/06/2025,9
287.93,328.24,16:06:32.067 18/06/2025,9
316.71,326.12,16:06:32.197 18/06/2025,9
349.01,330.09,16:06:32.269 18/06/2025,9
370.1,332.45,16:06:32.380 18/06/2025,9
408.29,331.79,16:06:32.441 18/06/2025,9
431.6,332.99,16:06:32.521 18/06/2025,9
456.81,336.31,16:06:32.585 18/06/2025,9
472.32,331.21,16:06:32.647 18/06/2025,9
527.4,336.45,16:06:32.713 18/06/2025,9
569.09,336.71,16:06:32.778 18/06/2025,9
627.33,343.9,16:06:32.840 18/06/2025,9
676.87,352.01,16:06:32.902 18/06/2025,9
727.13,357.94,16:06:32.965 18/06/2025,9
756.77,357.43,16:06:33.025 18/06/2025,9
778.32,356.12,16:06:33.084 18/06/2025,9
805.71,345.22,16:06:33.146 18/06/2025,9
807.21,333.56,16:06:33.336 18/06/2025,10
835.31,343.47,16:06:33.519 18/06/2025,10
858.34,345.52,16:06:33.577 18/06/2025,10
586.95,295.02,16:06:34.093 18/06/2025,10
522.7,290.34,16:06:34.153 18/06/2025,10
462.66,294.1,16:06:34.224 18/06/2025,10
